,species,decimalLatitude,decimalLongitude,elevation,depth,geometry,County,Land Area (sq mi),Population Total,human_population_density,native,prcp,tmax,tmin
0,Mantis religiosa,38.569964,-122.689257,,,POINT (-122.689257 38.569964),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
1,Mantis religiosa,38.569659,-122.689175,,,POINT (-122.689175 38.569659),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
2,Mantis religiosa,38.624724,-122.87158,,,POINT (-122.87158 38.624724),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
3,Mantis religiosa,38.57523,-122.69398,,,POINT (-122.69398 38.57523),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
4,Mantis religiosa,38.58435,-122.69993,,,POINT (-122.69993 38.58435),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
5,Mantis religiosa,38.566832,-122.684586,,,POINT (-122.684586 38.566832),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
6,Mantis religiosa,38.570743,-122.692534,,,POINT (-122.692534 38.570743),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
7,Mantis religiosa,38.58435,-122.69991,,,POINT (-122.69991 38.58435),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
8,Mantis religiosa,38.572705,-122.695313,,,POINT (-122.695313 38.572705),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
9,Mantis religiosa,38.421289,-122.7006,,,POINT (-122.7006 38.421289),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
10,Mantis religiosa,38.342323,-122.601825,,,POINT (-122.601825 38.342323),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
11,Mantis religiosa,38.456246,-122.752043,,,POINT (-122.752043 38.456246),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
12,Mantis religiosa,38.219355,-122.59113,,,POINT (-122.59113 38.219355),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
13,Mantis religiosa,38.236198,-122.648302,,,POINT (-122.648302 38.236198),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
14,Mantis religiosa,38.287827,-122.51492,,,POINT (-122.51492 38.287827),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
15,Mantis religiosa,38.65677,-122.864792,,,POINT (-122.864792 38.65677),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
16,Mantis religiosa,38.467236,-122.793914,,,POINT (-122.793914 38.467236),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
17,Mantis religiosa,38.221608,-122.626403,,,POINT (-122.626403 38.221608),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
18,Mantis religiosa,38.4722,-122.658833,,,POINT (-122.658833 38.4722),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
19,Mantis religiosa,38.465906,-122.754181,,,POINT (-122.754181 38.465906),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
20,Mantis religiosa,38.575613,-122.698037,,,POINT (-122.698037 38.575613),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
21,Mantis religiosa,38.731803,-123.480728,,,POINT (-123.480728 38.731803),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
22,Mantis religiosa,38.364483,-122.527358,,,POINT (-122.527358 38.364483),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
23,Mantis religiosa,38.575086,-122.707315,,,POINT (-122.707315 38.575086),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
24,Mantis religiosa,38.575103,-122.707078,,,POINT (-122.707078 38.575103),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
25,Mantis religiosa,38.573955,-122.699526,,,POINT (-122.699526 38.573955),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
26,Mantis religiosa,38.575038,-122.70717,,,POINT (-122.70717 38.575038),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
27,Mantis religiosa,38.472204,-122.658653,,,POINT (-122.658653 38.472204),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
28,Mantis religiosa,38.394301,-122.852081,,,POINT (-122.852081 38.394301),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
29,Mantis religiosa,38.45043,-122.899338,,,POINT (-122.899338 38.45043),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
30,Stagmomantis californica,38.35337,-122.71557,,,POINT (-122.71557 38.35337),Sonoma,1575.63,496801,315.3030851151603,native,93.39109330912696,20.492570803146954,7.783081461985906
31,Mantis religiosa,38.427667,-122.90435,,,POINT (-122.90435 38.427667),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
32,Mantis religiosa,38.276547,-122.674045,,,POINT (-122.674045 38.276547),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
33,Mantis religiosa,38.27303,-122.6736,,,POINT (-122.6736 38.27303),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
34,Mantis religiosa,38.274742,-122.723832,,,POINT (-122.723832 38.274742),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
35,Mantis religiosa,38.402699,-122.844233,,,POINT (-122.844233 38.402699),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
36,Mantis religiosa,38.48116,-122.658528,,,POINT (-122.658528 38.48116),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
37,Mantis religiosa,38.541351,-122.820099,,,POINT (-122.820099 38.541351),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
38,Mantis religiosa,38.284231,-122.701997,,,POINT (-122.701997 38.284231),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
39,Mantis religiosa,38.43505,-122.714054,,,POINT (-122.714054 38.43505),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
40,Mantis religiosa,38.402135,-122.823881,,,POINT (-122.823881 38.402135),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
41,Mantis religiosa,38.476692,-122.754325,,,POINT (-122.754325 38.476692),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
42,Mantis religiosa,38.370063,-122.668113,,,POINT (-122.668113 38.370063),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
43,Mantis religiosa,38.438808,-122.50578,,,POINT (-122.50578 38.438808),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
44,Mantis religiosa,38.714283,-123.457917,,,POINT (-123.457917 38.714283),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
45,Mantis religiosa,38.54141,-122.820048,,,POINT (-122.820048 38.54141),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
46,Mantis religiosa,38.24167,-122.651389,,,POINT (-122.651389 38.24167),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
47,Mantis religiosa,38.409017,-122.807819,,,POINT (-122.807819 38.409017),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
48,Mantis religiosa,38.409017,-122.807819,,,POINT (-122.807819 38.409017),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
49,Mantis religiosa,38.416058,-122.957878,,,POINT (-122.957878 38.416058),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
50,Mantis religiosa,38.156534,-122.551422,,,POINT (-122.551422 38.156534),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
51,Mantis religiosa,38.342323,-122.601825,,,POINT (-122.601825 38.342323),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
52,Mantis religiosa,38.226823,-122.625933,,,POINT (-122.625933 38.226823),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
53,Mantis religiosa,38.439313,-122.490127,,,POINT (-122.490127 38.439313),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
54,Mantis religiosa,38.416717,-122.927575,,,POINT (-122.927575 38.416717),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
55,Mantis religiosa,38.734512,-123.47802,,,POINT (-123.47802 38.734512),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
56,Mantis religiosa,38.440429,-122.714055,,,POINT (-122.714055 38.440429),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
57,Mantis religiosa,38.292308,-122.447831,,,POINT (-122.447831 38.292308),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
58,Mantis religiosa,38.400803,-122.82481,,,POINT (-122.82481 38.400803),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
59,Mantis religiosa,38.423388,-123.089705,,,POINT (-123.089705 38.423388),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
60,Mantis religiosa,38.402042,-122.956593,,,POINT (-122.956593 38.402042),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
61,Mantis religiosa,38.339034,-122.675866,,,POINT (-122.675866 38.339034),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
62,Mantis religiosa,38.366883,-122.513755,,,POINT (-122.513755 38.366883),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
63,Mantis religiosa,38.425533,-123.057944,,,POINT (-123.057944 38.425533),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
64,Mantis religiosa,38.561095,-122.679396,,,POINT (-122.679396 38.561095),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
65,Mantis religiosa,38.339637,-122.701098,,,POINT (-122.701098 38.339637),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
66,Mantis religiosa,38.357667,-122.690322,,,POINT (-122.690322 38.357667),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
67,Mantis religiosa,38.57522,-122.69397,,,POINT (-122.69397 38.57522),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
68,Mantis religiosa,38.740497,-123.487472,,,POINT (-123.487472 38.740497),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
69,Mantis religiosa,38.286549,-122.448616,,,POINT (-122.448616 38.286549),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
70,Mantis religiosa,38.304275,-123.012328,,,POINT (-123.012328 38.304275),Sonoma,1575.63,496801,315.3030851151603,introduced,93.39109330912696,20.492570803146954,7.783081461985906
